Source;Instance;BestObjective;Gap;Status;NExploredSolutions;OptimizationTime;OverallTime
2a_Hurink_sdata;44;1234.0;0.0;2;10689.0;10.013000011444092;11.809739828109741
2a_Hurink_sdata;45;943.0;0.0;2;2759.0;1.2339999675750732;1.3278136253356934
2a_Hurink_sdata;46;695.9999999302999;0.3118758243139797;9;76481.0;1800.0889999866486;1800.5884954929352
2a_Hurink_sdata;47;716.9999999281964;0.2900976289386701;9;1527849.0;1800.0350000858307;1800.6596865653992
2a_Hurink_sdata;48;717.0;0.25383542538354636;9;1746477.0;1800.0490000247955;1802.0178701877594
2a_Hurink_sdata;49;7038.0;0.0;2;479356.0;62.688000202178955;64.25057935714722
2a_Hurink_sdata;50;7166.0;0.0;2;12855968.0;1423.766000032425;1423.8128035068512
2a_Hurink_sdata;51;7311.999995270156;0.15098468216415387;9;17674474.0;1800.0099999904633;1800.0569250583649
2a_Hurink_sdata;52;8002.9999975987075;0.26689991231283444;9;14726616.0;1800.005000114441;1804.4103763103485
2a_Hurink_sdata;53;7702.0;0.0;2;477115.0;47.62899994850159;51.628560066223145
2a_Hurink_sdata;54;8312.999999168598;0.0;2;3672.0;5.560999870300293;5.608062267303467
2a_Hurink_sdata;55;6557.999999344097;0.0;2;2945.0;0.5149998664855957;0.5467469692230225
2a_Hurink_sdata;56;8264.0;0.0;2;36941.0;4.295000076293945;4.3271143436431885
2a_Hurink_sdata;57;1059.0;0.0;2;2328316.0;369.3050000667572;369.3668146133423
2a_Hurink_sdata;58;887.9999999999983;0.0;2;4505.0;1.7030000686645508;1.7808327674865723
2a_Hurink_sdata;59;1005.0;0.0;2;918767.0;176.1619999408722;176.24006748199463
2a_Hurink_sdata;60;1005.0;0.0;2;9219.0;17.183000087738037;17.261590242385864
2a_Hurink_sdata;61;886.9999999999987;0.0;2;24273.0;8.295000076293945;8.37304425239563
2a_Hurink_sdata;62;1010.0;0.0;2;190842.0;673.0009999275208;673.0787167549133
2a_Hurink_sdata;63;396.9999999999999;0.0;2;8881.0;9.497999906539917;9.57588791847229
2a_Hurink_sdata;64;899.0;0.0;2;601368.0;124.67400002479553;124.73647928237915
2a_Hurink_sdata;65;934.0;0.0;2;58174.0;13.700000047683716;13.762408018112183
2a_Hurink_sdata;66;943.9999999999998;0.0;2;5226.0;8.873000144958496;8.966659545898438
2b_Hurink_edata;1;54.99999999999949;0.0;2;1.0;0.15699982643127441;0.1874556541442871
2b_Hurink_edata;2;870.9999999999998;0.0;2;30552.0;9.388999938964844;9.466505289077759
2b_Hurink_edata;3;1124.0;0.5169039145907474;9;5450704.0;1800.016000032425;1800.1405143737793
2b_Hurink_edata;4;608.9999998779983;0.0;2;12108.0;5.9670000076293945;9.919554233551025
2b_Hurink_edata;5;654.9999999343927;0.0;2;17097.0;8.717000007629395;8.763575792312622
2b_Hurink_edata;6;550.0;0.0;2;33725.0;5.265000104904175;5.2956383228302
2b_Hurink_edata;7;568.0;0.0;2;4787.0;3.9670000076293945;4.014686107635498
2b_Hurink_edata;8;502.9999999495999;0.0;2;6098.0;1.9839999675750732;2.030776023864746
2b_Hurink_edata;9;832.9999998331903;0.29411764691746933;9;12357495.0;1800.0009999275208;1800.0791504383087
2b_Hurink_edata;10;761.9999999237;0.13123359571353532;9;12295975.0;1800.0049998760223;1805.3171107769012
2b_Hurink_edata;11;844.9999995769961;0.24142011796345292;9;14248822.0;1800.0030000209808;1805.4860343933105
2b_Hurink_edata;12;877.9999998241983;0.16856492010687052;9;14751145.0;1800.0009999275208;1806.9831070899963
2b_Hurink_edata;13;866.0;1.3157985945358307e-09;2;10010887.0;1404.3740000724792;1411.7002122402191
2b_Hurink_edata;14;1105.9999998892997;0.4457504520240908;9;9468126.0;1800.0009999275208;1800.125667333603
2b_Hurink_edata;15;959.999965296938;0.45312498023100284;9;8947926.0;1800.0060000419617;1807.114331960678
2b_Hurink_edata;16;1052.9999985907598;0.3969610628206774;9;7128427.0;1800.0120000839233;1806.573250055313
2b_Hurink_edata;17;1122.9999995693966;0.4612644699626168;9;9384691.0;1800.0009999275208;1804.8282680511475
2b_Hurink_edata;18;1110.9999488975513;0.5050115824990985;9;588912.0;1800.037999868393;1806.2389159202576
2b_Hurink_edata;19;891.9999999999992;0.0;2;3851.0;1.3589999675750732;1.8745670318603516
2b_Hurink_edata;20;707.0;0.0;2;310.0;1.6400001049041748;1.73396635055542
2b_Hurink_edata;21;842.0000000000007;0.0;2;6182.0;1.7809998989105225;1.874563455581665
2b_Hurink_edata;22;795.9999999202998;0.0;2;6464.0;2.7339999675750732;2.8118467330932617
2b_Hurink_edata;23;856.9999999999771;0.0;2;234.0;1.25;1.3278133869171143
2b_Hurink_edata;24;1040.9999998958;0.1440922189345;9;668704.0;1800.0649998188019;1800.2373926639557
2b_Hurink_edata;25;880.0;0.0;2;598759.0;279.9340000152588;280.4188485145569
2b_Hurink_edata;26;956.9999999041964;0.15882967598684733;9;5775741.0;1800.0209999084473;1800.2088866233826
2b_Hurink_edata;27;908.9999999089998;0.04180418032211663;9;700301.0;1800.0520000457764;1803.2694313526154
2b_Hurink_edata;28;936.0;0.0;2;2037035.0;734.3440001010895;734.6564581394196
2b_Hurink_edata;29;1147.9999998850974;0.2665505225746752;9;222043.0;1800.0720000267029;1800.4005870819092
2b_Hurink_edata;30;1253.9999999999018;0.3245614035087198;9;502231.0;1800.0540001392365;1800.5688035488129
2b_Hurink_edata;31;1190.999999880782;0.30310663301168583;9;594527.0;1800.0780000686646;1800.8588483333588
