Source;Instance;Runtime;Function-Evaluations;Generations;Restarts;Best-Fitness;Adjustable
--------------------------------------------------------
20% ELITISM, TOURNAMENT SELECTION
--------------------------------------------------------
1_Brandimarte;1;226.79898977279663;343265;1408;10;40;False
1_Brandimarte;1;1390.52659034729;1580905;4429;38;40;False
1_Brandimarte;1;669.3678953647614;833675;2509;20;40;False
1_Brandimarte;1;1079.4066288471222;1265045;3552;30;40;False
1_Brandimarte;1;580.8798134326935;756255;2324;20;40;False
1_Brandimarte;1;1709.9239220619202;1912280;5196;43;40;False
1_Brandimarte;1;181.9225206375122;266510;1136;9;40;False
1_Brandimarte;1;1497.9503881931305;1726820;4697;39;40;False
1_Brandimarte;1;368.64339208602905;523685;1905;14;40;False
1_Brandimarte;1;1805.7019300460815;2001385;5373;46;41;False
1_Brandimarte;1;984.4695041179657;1228830;3584;29;40;False
1_Brandimarte;1;1800.0907475948334;1969545;5363;46;41;False
1_Brandimarte;1;876.122400522232;1099920;3322;27;40;False
1_Brandimarte;1;373.245920419693;511445;1767;14;40;False
1_Brandimarte;1;358.6126775741577;497410;1866;13;40;False
1_Brandimarte;1;280.2759847640991;377340;1410;11;40;False
1_Brandimarte;11;101.94483518600464;29780;538;3;648;True
1_Brandimarte;11;45.95397663116455;14485;354;2;644;True
1_Brandimarte;11;34.88438439369202;10465;273;2;649;True
1_Brandimarte;11;49.46548414230347;16025;401;2;647;True
1_Brandimarte;11;4.4224700927734375;1605;80;0;649;True
1_Brandimarte;11;44.175023794174194;13725;431;2;646;True
1_Brandimarte;11;3.305903434753418;1185;59;0;649;True
1_Brandimarte;11;98.52146601676941;28460;537;3;643;True
1_Brandimarte;11;16.169995546340942;5370;193;1;648;True
1_Brandimarte;11;45.932276010513306;14565;431;2;648;True
1_Brandimarte;11;19.962703943252563;6830;251;1;646;True
1_Brandimarte;11;104.38710904121399;30820;575;3;639;True
1_Brandimarte;11;22.686697244644165;7830;252;1;648;True
1_Brandimarte;11;99.91328501701355;28780;548;3;644;True
1_Brandimarte;11;91.65998148918152;25660;556;3;649;True
1_Brandimarte;11;18.16741919517517;6090;208;1;648;True
1_Brandimarte;11;95.92408895492554;27200;468;3;647;True
1_Brandimarte;11;23.775012731552124;8370;302;1;649;True
1_Brandimarte;11;18.09232807159424;6130;193;1;648;True
1_Brandimarte;11;47.288787603378296;15145;396;2;646;True
1_Brandimarte;11;52.60433101654053;17065;392;2;649;True
1_Brandimarte;11;96.6709794998169;27880;565;3;646;True
1_Brandimarte;11;17.068714141845703;5810;252;1;649;True
1_Brandimarte;11;59.64811563491821;19845;499;2;649;True
1_Brandimarte;11;92.97845268249512;26220;495;3;647;True
1_Brandimarte;11;42.58480405807495;13265;346;2;649;True
1_Brandimarte;11;7.140603065490723;2665;133;0;644;True
1_Brandimarte;11;115.48273587226868;34380;584;3;645;True
1_Brandimarte;11;111.99027609825134;33340;569;3;649;True
1_Brandimarte;11;40.31195092201233;12305;321;2;643;True
1_Brandimarte;11;14.149765491485596;8590;291;1;649;False
1_Brandimarte;11;59.76636791229248;28560;502;3;648;False
1_Brandimarte;11;65.6224672794342;32560;694;3;645;False
1_Brandimarte;11;63.41195106506348;31080;601;3;649;False
1_Brandimarte;11;11.068993091583252;6530;221;1;649;False
1_Brandimarte;11;4.1496477127075195;2845;142;0;648;False
1_Brandimarte;11;29.683764696121216;16485;385;2;645;False
1_Brandimarte;11;3.8729605674743652;2645;132;0;647;False
1_Brandimarte;11;68.74504613876343;34580;555;3;647;False
1_Brandimarte;11;31.802916049957275;17065;443;2;649;False
1_Brandimarte;11;60.88824725151062;29040;507;3;646;False
1_Brandimarte;11;40.53117513656616;23745;598;2;646;False
1_Brandimarte;11;32.48930263519287;18205;413;2;646;False
1_Brandimarte;11;58.20150876045227;27460;529;3;649;False
1_Brandimarte;11;73.75459337234497;38520;708;3;647;False
1_Brandimarte;11;71.7413022518158;36920;662;3;643;False
1_Brandimarte;11;11.31558346748352;6690;241;1;649;False
1_Brandimarte;11;28.493112802505493;15665;392;2;647;False
1_Brandimarte;11;28.86047625541687;16025;426;2;649;False
1_Brandimarte;11;59.378833293914795;28580;566;3;648;False
1_Brandimarte;11;2.3127667903900146;1525;76;0;648;False
1_Brandimarte;11;66.62436938285828;33360;548;3;645;False
1_Brandimarte;11;4.345124244689941;2985;149;0;647;False
1_Brandimarte;11;16.922791004180908;10710;383;1;644;False
1_Brandimarte;11;29.21485686302185;16085;411;2;648;False
1_Brandimarte;11;15.346190452575684;9550;330;1;648;False
1_Brandimarte;11;81.82947850227356;43260;619;3;646;False
1_Brandimarte;11;14.917140245437622;9330;348;1;647;False
1_Brandimarte;11;3.9946234226226807;2765;138;0;649;False
1_Brandimarte;11;13.536187887191772;8330;335;1;649;False
--------------------------------------------------------
NO ELITISM, NO TOURNAMENT SCALING SELECTION
--------------------------------------------------------
5_Kacem;1;0.07206559181213379;805;40;0;11;True
5_Kacem;1;0.48894834518432617;5550;176;1;11;True
5_Kacem;1;0.11310529708862305;1305;65;0;11;True
5_Kacem;1;1.017944097518921;10425;244;2;11;True
5_Kacem;1;0.12011313438415527;1445;72;0;11;True
5_Kacem;1;0.11510467529296875;1405;70;0;11;True
